address,tier,avg_balance,DAYS_OVER_1,DAYS_OVER_10,DAYS_OVER_100,DAYS_OVER_1000,DAYS_OVER_10000,DAYS_OVER_100000
0x505e65f7d854d4a564b5486d59c91e1dfe627579,4,1012.14,580,505,336,281,0,0
0xfcb81c1b0e0d4fea01e5a0fbf0aebb91e78a67e1,4,951.7,304,304,304,126,6,0
0x1b98202492bd78bb042523674eec19cd0ac50f96,4,936.74,178,178,177,104,0,0
0xb4e058554c0e8e1331c6eec478d894a9a2e29d84,4,931.86,711,711,711,270,0,0
0x2b1a81f2a1f2032b9c179c9b8b6d502ae152bcc2,2,925.72,19,19,19,19,19,0
0x5d4e15f0a3af0066826a90f31855e3d3d8afb6dc,4,916.92,254,243,240,240,0,0
0xc1f7313d996b740e8740ef49add3177535431a72,4,915.21,40,39,39,32,31,0
0x1faf59040e9087675a7198e3c79d34de2f5796b1,4,875.07,113,113,113,113,0,0
0xf26afefcb1fd04eade3de672af487aaf96d5f276,4,874.91,413,411,410,401,0,0
0x33080d27f98747f092021bdee4a006eda42ff2f7,4,867.48,221,221,220,220,0,0
0x0f52002482c3188575f2e751dc948ab2fdd39d10,4,859.39,221,221,221,221,0,0
0xc62810cb04295d4798ffbd6314bbf1ed84592f8a,4,856.47,413,411,408,401,0,0
0xfea52858394a988277c96295b341a24252da3ca7,4,843.38,697,697,497,183,0,0
0x08e40e1c0681d072a54fc5868752c02bb3996ffa,4,791.32,470,464,220,94,0,0
0x19a737fcfd815aae4d97731d2f30918b7012a924,4,754.38,488,487,478,464,0,0
0xefc63a8112e7d20ffe84862dd9b4e23e93635836,4,730.9,161,161,161,161,0,0
0x57db3264a363379b2c66a6914c0bf1d70f4763f6,4,717.72,210,210,210,210,0,0
0x91bc391f038fff2773666428c4335077d6898f15,4,691.11,388,388,387,184,0,0
0xf0ca6235349d5b3f5715b83dc57e580cbd544f48,4,678.73,416,289,274,258,0,0
0xa76d7873b01fa564ec3e49a651c2e6e40dfa311f,4,676.51,120,120,120,120,0,0
0xa859637e46fb45085b702670b789be7c9152d545,3,675.54,488,487,478,14,0,0
0xcb857f1f2e36e0ee393125efa39802ece6363f80,4,675.51,235,235,234,234,0,0
0xdf4cd3e6cf4ceee9b4041e44fe674a72aa2ab816,4,671.13,260,260,260,260,0,0
0x3b454b53b4c414ffa8297ec49c9d5f040cf035f8,4,669.72,254,252,223,221,0,0
0x4c7d77e2d6983169be7e6a8cb2e64f3475419b81,4,651.48,386,386,386,386,0,0
0x9a8df486d919d132253228b8bbcb1db419bc4d98,2,639.95,12,11,11,11,11,0
0xeaaeabc83df22075d87bff0ae62f9496ffc808f3,4,601.93,200,200,113,97,0,0
0x8769d1a0440e1036099c7926acbe7a0869caa056,3,597.12,399,399,399,12,11,0
0xeca109a2686f074c9461bcb05656b19ef61fbc9e,4,564.72,172,172,151,90,0,0
0xb340e912be450537893faf7a7e41e2d6d2afe3fd,4,554.21,386,386,386,385,0,0
0x7aa8da47f4f67c4703eb2f944273ad3d91e51a9f,4,530.76,515,515,290,101,0,0
0xe04f8d1d5aab8f7580c53e350482c67f0202cdf9,4,529.38,250,243,241,241,0,0
0x8a46222bbc36aa5413b1a9e9d93b44fd0f9ab9c7,3,526.22,119,119,64,11,11,0
0xd1d1c2dc127e796819add9850db889ea722d3012,4,493.56,489,484,478,54,0,0
0x1b2c9162568d47974af65a562d89c523c45e69d0,4,487.25,409,409,396,227,0,0
0x8d8f069f43b7d73ccc0f57e57d5309096ee092ba,4,470.7,324,324,324,324,0,0
0x53c9683ff2dd60f154f5910fa758d0c6ac21688c,4,467.56,190,190,187,142,0,0
0xb936d993379e5f52b6b8fdcdfa380508f037a420,4,445.13,530,529,529,72,0,0
0x1bbfc95b826693bf17665f36a66ac9c389b7e581,3,444.24,586,557,484,10,10,0
0x4bac871c3123574f89963ebe64e87fe2b4ed5831,4,440.59,254,248,240,114,0,0
0xf7d1d901d15bbf60a8e896fba7bbd4ab4c1021b3,4,437.34,196,51,51,32,15,0
0x3659c94900ba46698df053f1663b887beab444d1,3,434.17,93,74,64,21,11,0
0x82a66a82f20761534c76fc96d68af1e4facd46a0,4,422.8,169,167,167,167,0,0
0xe48610632d2621abe9fea613d54509219d0cb83f,4,408.1,249,245,240,240,0,0
0x474716e617fea8898d4fa9d891aa67b5bedd6c4b,3,404.74,530,529,521,0,0,0
0xeedaa2a158b5971e339b7ca55217d0d1d852f41b,4,404.42,219,219,219,219,0,0
0xd50965e23adba5d34731f216ce7145dfe4c90e01,3,400.98,489,485,477,20,0,0
0x85b4f2c363f28c36edfdd5ed472d247b63dab718,3,374.19,489,485,478,0,0,0
0x1421d52714b01298e2e9aa969e14c9317b3e1cfa,3,369.25,415,410,401,0,0,0
0x18c4a9fe8347f1938dd8a9157205f46479adf169,4,369.02,254,246,240,220,0,0
0x26c93074f17dbe44e7e54c698b68e39aed439df8,3,361.29,488,484,479,0,0,0
0x689a083d9c7bf2e76c2af50f03bf1266e0c9c202,4,359.13,254,245,241,69,0,0
0xd251c52c091c54a14e00ad1a31a4cffb9e6c8197,4,354.9,220,220,220,219,0,0
0xa7ca400d49bba87eb606ee05af93689bd21fab99,4,354.56,424,350,263,128,0,0
0x1b74ab2796703f142c465507fa6e3125fad46719,3,350.01,488,487,478,0,0,0
0x51982f6a452328762ad391140ffdedcb63080cd7,4,347.93,143,118,118,51,0,0
0xa30712c2a1bb255fd7b664baba22cc71394de2b2,4,347.62,340,340,319,81,0,0
0xbbe2c8e6149c8b92ffd4c79876694c04fa0fdf39,4,341.18,191,191,152,111,0,0
0xb00348951c6f0fa3b2ffebdcbd91bbd95ec79d4d,3,333.46,486,484,480,14,0,0
0x5f68069b2a367d562c9479d7402dc0d371861288,3,331.23,711,711,711,0,0,0
0x722a739c85f87230ae71530593dd9ef5e181dc63,3,322.71,250,249,240,0,0,0
0xf905c05a274b4775432b43d1b651e26039ec6354,3,321.41,337,336,320,23,0,0
0x5edc7e2ad462e670f1f9face7b25987800267dd2,4,318.78,205,196,191,115,0,0
0x7340f1a1e4e38f43d2fcc85cdb2b764de36b40c0,4,303.62,489,363,245,109,0,0
0xe1644c2ca9d19bb079fa87a9bc9bdee8421c0c59,3,303.39,531,522,484,0,0,0
0x4adae4eb7f6480138b31bd0eadf20ebbd27261f7,3,299.58,355,355,355,0,0,0
0xd6040f11ebbffb6eaa61d2197767aa2b7df71d43,4,296.3,183,170,120,67,0,0
0xddcc6b810e747e50d21e7d55806c35f149f1a2cf,3,294.79,485,483,478,0,0,0
0xf626e9a2fddbf55b0b1a87c56128a7ba6723a85a,4,294.18,53,53,53,53,0,0
0x3ed82c11ba0e5c753136e7d0b3a08f72d2c679ff,4,292.61,416,416,46,34,0,0
0x783bb983ca298246c8e24bcf7621286f3456624e,4,291.42,302,295,292,54,0,0
0xf3ad97364bccc3ea0582ede58c363888f8c4ec85,4,283.82,507,411,114,91,0,0
0x0c0412ddb846096ea1e37de717921ebf4fef9a39,4,280.79,51,51,51,43,0,0
0xfef5a1a2b3754a2f53161eaaacb3eb889f004d4a,4,279.26,344,261,244,193,0,0
0xf3d67757c2a3b68c090572962113d7e5db530425,4,271.16,222,222,222,52,0,0
0x67369401fc93c7e8d38e576cce97cdb1f8ec68ad,3,269.46,242,240,240,0,0,0
0x1bd9cc1ebf25242acf4f675fd1bd758d301c732c,2,260.59,259,19,19,19,14,0
0x9314c6e24bf981327b53ee51f11496fbd64e899d,3,258.47,415,407,400,0,0,0
0x5810ba006c2a4b3a602b68caaed15c2cb47bf2d3,3,258.21,241,233,233,0,0,0
0x5adbd44ab2d173d45c829d9f83148d4e4dd552ce,4,256.97,361,356,272,86,0,0
0x4763a32d5256eda615fd5c07b0e333c7baa4d628,3,247.11,486,481,478,0,0,0
0x8b1f79869a391a5ec7cdf719bb6e3b45876cad9d,4,245.88,254,246,111,91,0,0
0xe757b9475e8bdabfef5bf6b7850dfd90971bf77f,3,244.54,488,484,477,20,0,0
0x302e2a0d4291ac14aa1160504ca45a0a1f2e7a5c,3,240.56,593,514,416,0,0,0
0xd30caa4260a16994510d5858a2f4ce7bb506a294,4,237.57,427,273,254,77,0,0
0x5299c7d2b73b6a96231081dabfd54dfcc84fedeb,3,227.97,196,196,195,0,0,0
0xb3adca1bd2752ce4bd92fd3ec6a95bf001a12c68,4,227.4,68,59,54,54,0,0
0x048decb445c632fba766bf1ccdf9c2a8425fe4e4,2,226.01,19,15,12,12,11,0
0x6e9f7cb201ae183fa2034141433f81043b822f22,3,225.82,322,322,321,0,0,0
0x99835e84a902c64a77f67f6371360c8ab18d933c,4,223.33,43,43,43,43,0,0
0x406c59a797bcc41827aebdfb954ec66328abecd0,3,220.2,528,527,517,0,0,0
0x5a9decfd5f146fcd1d1b85b2ee069f4502fc87e4,3,219.69,277,277,259,0,0,0
0x85641ebdce97c27ef424e17d2be81ae6d40776c7,4,219.01,529,273,263,39,0,0
0x59dda36bd196ec849838ce2163e6821f946b37dc,4,214.45,571,464,268,56,0,0
0x22fa3239c4bf43d05cc587ff40ea3ba5841c6709,4,213.78,109,109,95,58,5,0
0x0442a9abbc93058a873c371f21cc366338254a88,4,212.21,126,109,83,74,0,0
0x4ae3350bf2ae7135029f09e49e9c8a8d222ac57a,3,207.85,529,526,520,0,0,0
0x23490b2a472a4c78c30ef02256846fa1cd7d0fbd,4,203.49,153,153,150,86,0,0
0x967b3d746107c5677b4bcdbd9e6e75a5d18ac205,3,201.2,249,240,221,0,0,0
0x82f8c0ee18963bbb68a66123411a760229845e51,4,197.36,108,108,107,68,0,0
0x6caa98b49a09d5699629f74ef4bc0924e4820b0d,2,195.5,236,236,26,7,6,0
0xfed6ec802873080d0f5165137c280009f34a54c9,3,194.21,244,241,240,0,0,0
0xbcb1f2cc368f17e97dc11b1614883888ce531a5a,3,187.12,369,368,358,0,0,0
0x288dc841a52fca2707c6947b3a777c5e56cd87bc,4,186.79,39,39,39,39,0,0
0xced4e0eed164f421a5f89d9f51be0bedaad77ecc,3,184.68,221,221,221,0,0,0
0x6b93cc473cec4a394413a8a97b31f9f8ea535708,3,179.47,319,319,319,0,0,0
0xfc53d28162444bd167f77889f2a5c23b98281707,3,176.63,249,241,240,18,0,0
0xc83685cdbb4150477bceb620d43b74c350a95cd9,3,170.29,520,512,478,16,0,0
0xb18b4ab551c4b8cdb3fcb57c9a30e953c3991748,3,168.97,217,217,217,0,0,0
0xfbca78474a09e2bf3543f4fc1037152ea2c6c32d,4,167.45,312,311,61,36,0,0
0x6ead98ac60771343a361cf7558e8493b32fc8304,4,166.48,363,193,191,75,0,0
0xd06496e108d7dab8f2d6264a3f7ae899897cddcd,4,164.5,223,214,112,54,0,0
0x31d2737adf35a6981546b4da644ee64973cd4fd8,3,163.09,261,261,121,19,0,0
0xda81521fbc52531266a15405bcc47f36ce94f19b,3,161.39,270,253,245,2,0,0
0xe73a198e7c07c418d7dcfd42f5e953074abbd125,4,158.74,214,214,83,58,0,0
0x74bd011d233b9067ed07033052146f02572f0871,3,151.44,352,352,352,0,0,0
0x0f41667c713c501208d5571d9fb4f165358a9beb,3,150.45,112,71,71,22,0,0
0xa6a408914dc6e1ac9a8db8ce472923374b1b6beb,4,149.19,116,116,116,81,0,0
0x227569d80706d817f7d3d016826788b31f073f68,3,147.28,52,52,35,12,6,0
0x4f033f583d4aa39c3c57fd16b2c984355f849b74,3,147.02,488,484,478,0,0,0
0x70609d1aad19353566e4836c8310523925a4d009,2,146.59,30,30,26,16,0,0
0x228c7e64f107d4c468e0f744fdd73dec2bf6df51,3,145.98,312,246,126,19,0,0
0xd6b97e042d03edbdc100eb55fbe43eb75f2e3036,3,144.25,506,228,216,17,0,0
0xf9903c5d11e8f4bfebcf02747d53319e9c4a10c6,3,143.86,411,410,401,0,0,0
0x2c39573ab444b17c520116a18bc5094a1b920d5f,3,142.62,486,485,478,0,0,0
0xd6801262c2e51629d14e94c7c58ecb97f5512aea,4,142.41,100,96,88,50,0,0
0xf4e43840cb77ace48bb4db33409c8afa84d88888,4,142.3,409,194,147,70,0,0
0x7cd2073a2c8408e4af96873a0e3822b442b58039,4,140.91,529,327,321,33,0,0
0xa520d9de41cad5d553ec35805b4df2f2d01691a4,4,140.22,335,175,68,54,0,0
0x58f7ff14700a754a652b3e6f5edcb51e617c4e86,4,138.11,254,108,106,34,0,0
0x3fda0f46303da7b63c7f683a1c80d3ffbb0a450f,3,137.16,387,387,387,0,0,0
0x1a86e43939fef6234b353ab6606f0b56475420dc,3,137.13,423,293,280,0,0,0
0x80fe61720fe2bb8b54b028f037189de0b13aa50b,3,137.1,404,404,404,0,0,0
0x91b1835d53f887c1551cf9d3df67a578a78f4c92,4,136.43,118,118,109,36,0,0
0xa18e26839aa656436d54e640f255d33742aaccfd,3,135.14,254,254,254,1,0,0
0x7554f10da3ed7128300577e55abcd8f8835bcee4,4,132.43,64,64,63,51,0,0
0x10f48439a848dafce3fb27d58d255970f8169e4f,4,131.24,41,41,41,41,0,0
0x5219ffb88175588510e9752a1ecaa3cd217ca783,3,130.59,493,282,273,14,0,0
0x432952e34729f92b08443a573b8a9cd60557cea7,3,129.13,220,220,92,0,0,0
0x38b826a4426a0d4d9b4377ac57c9af0308281c5d,3,129.11,426,426,425,0,0,0
0x4856a7e624290888f80b6f67f236c7d90a1b292d,3,129.08,353,232,231,0,0,0
0xd19952bbf95fbcf5ceff98053eb13271a56e629c,3,128.58,415,402,401,0,0,0
0x82a7eb81b5405ae06d88639529d2aa9f412ae08c,3,128.48,519,519,484,0,0,0
0x2c0d9d0c822c14505034fdb9eff0790e050b68bc,3,128,501,500,491,0,0,0
0x850a146d7478daaa98fc26fd85e6a24e50846a9d,2,127.67,14,13,13,13,0,0
0x072a2bbb9a102727c30a101375cab64c3b955a50,4,125.51,149,148,89,53,0,0
0x8df9894fb34127fdd1f04e7f9ea33eb7735e59c2,4,124.09,288,78,71,56,0,0
0x6f51cedfb10e1e85c730729cba4cf34844e8b377,3,122.59,416,416,415,0,0,0
0xbcea5d6c19303e4f3eba367ca87aa4d0df063544,4,121.9,146,146,146,34,0,0
0xe09315a86ed0a39862158f5631b928145987fe05,3,120.13,254,112,55,20,0,0
0x511f61e5e800712c938718045f4052e536dc90a6,3,116.96,415,414,401,0,0,0
0xe0150c1c32a0b4f137b32a79376053da3f96ff70,4,116.62,473,158,138,38,0,0
0x6de522c738708539755963ad0576d2f7bfc480f6,2,115.96,31,30,26,19,0,0
0x795df83a989c74832b2d108ff8200989b59fbacf,4,115.45,260,179,141,31,0,0
0x8cbe8ac4f37f252354607a103a8463e57aa09943,3,114.98,245,50,41,18,0,0
0x9a84c14ee174866ff7dd23cf6d7899a9f26d9272,2,113.96,28,28,27,14,0,0
0xb7f2ac8758470204ce5b785943963e8166ea525c,3,112.74,318,318,318,0,0,0
0xd704c5f9826191f3bd06cae867d0f20cafa8aeba,3,112.55,526,522,522,0,0,0
0xa9d20b435a85faaa002f32d66f7d21564130e9cf,3,108.68,448,420,217,0,0,0
0x2e7762ebdcbd3faf45d723f23e851ef4fc4e8617,3,108.62,130,130,128,0,0,0
0xd68e5b216fc2af2854152eac501f9e00807d8c1d,2,108.56,31,31,26,16,0,0
0xb274ac57ef350df6a7a897355ec25d0fb9032bae,3,104.18,415,403,274,0,0,0
0xe6829705c43530973c9a9394513a18e6a60ea22a,3,103.9,415,408,401,0,0,0
0x13126b6859fb72d3956797d94c99078b40294679,3,103.8,488,481,478,0,0,0
0x5464d19f5561e7888ea0cc043715f4356d52d4cf,3,101.31,711,711,711,0,0,0
0x03779b674cbcbfc0b801c4cac9dfac8aacbbd5c5,2,100.4,171,59,24,19,0,0
0x1f00dd750ad3a6463f174ed7d63ebe1a7a930d0c,2,99.25,20,20,20,20,0,0
0xfb8ca52748e70f887e9b8c5ffbb611d1ea4cc725,3,97.47,319,319,319,0,0,0
0xcca057dad4c8a2b2f53463c57b18f53a69e38a06,3,96.02,276,276,270,0,0,0
0x137445fdfeca6aa35ff274ee9fd8b6e4c060166c,3,95.19,519,519,519,0,0,0
0xebeebf875457021ef94a9ff8f4ce5502854d854c,2,94.65,22,22,22,22,0,0
0xf1e8b695c9208fc628cffe8607c415ab72113912,3,94.21,239,238,163,0,0,0
0x9c3ea07603a0966d5cf41a3f49da9adab3f5f5b0,3,93.8,351,351,351,0,0,0
0x389cf1887338334586ebe17f0fec4ad4a054390c,3,93.43,101,100,100,1,0,0
0x16ac18fc5916408c8245e2fad23857cf9620cec6,3,93.34,242,240,240,0,0,0
0x7380a42137d16a0e7684578d8b3d32e1fbd021b5,3,90.64,158,47,46,24,0,0
0x11791f6384f904d3273da53ef29cc80741938f25,4,90.01,64,64,64,64,0,0
0x8152004d6660a2182018352ab8aa6e917cdb3239,4,89.62,380,380,74,30,0,0
0x20e229667cec8a0e9d3c6fb89693b2a44ec2c50e,3,89.56,247,243,241,0,0,0
0xcc5437c25cad0b23dd88118d054da19dbec52cea,3,89.39,254,241,240,0,0,0
0xd81c211693f7e3d79dd07792f870d83cad00d83c,3,88.68,247,242,240,0,0,0
0x3f1e5a0376085b35aba976bc16fc6819bd264e28,3,87.87,163,162,136,0,0,0
0xd28e4e6be770d7c17cbe211a3dde56b829e98987,3,87.7,291,261,39,20,0,0
0x528c865aa52888f4cf944377054b7cadd593d0e8,4,87.63,45,43,34,34,0,0
0x5470e9855cc31a754079c819365f866a38404ff5,3,86.97,529,527,517,0,0,0
0xf2e4a33ba8963372d95c061d2592a212e57287f5,3,86.52,244,240,240,0,0,0
0xad86bb16d1b74ffabb9fc668b83251f831763247,3,86.49,242,240,240,0,0,0
0x73566f1a37bc5549c079633c0afa0c5e966366c9,3,86.24,239,239,229,14,0,0
0x051762315159646c7cb623addbc2ccc527889ee0,3,86.06,527,527,517,0,0,0
0x111f0577ec7e7580fe954eda0a99034eb406f997,3,85.86,529,526,526,0,0,0
0x12bd00fa04deb344fd8570fe80450a7a89f28695,3,85.76,242,241,241,0,0,0
0x476e2651bf97de8a26e4a05a9c8e00a6efa1390c,3,85.04,241,241,241,0,0,0
0xf6dc6472b0bfd482ed5dfbad14a1e62905600a8b,4,84.44,30,30,30,30,0,0
0x8df8cc5bbc715c6024a6011f4603f391fc99ea12,4,83.83,488,111,71,29,0,0
0x9ef6c6d9efac53c6fa2e3682953e03704c38aecf,3,82.56,310,310,310,0,0,0
0x6ad87d0b36d3449d7c844051d92115f087867d85,3,82.23,529,527,527,0,0,0
0xe0fbc583bbc90fd3529833817a03604e136c010c,3,82.06,48,46,40,20,0,0
0x687ead20dee82dcd9f04409bde1b134e915ab1fb,3,80.5,484,481,214,0,0,0
0x98f42f33c9ec06a585f1a97edfd61661ccfea033,3,80.36,242,241,225,0,0,0
0x00953921ce4550d99282f94ee4229c7641d4da12,3,80.35,486,486,483,0,0,0
0xd984888411035a2887c976023bbedbd310f2ab1a,2,80.15,38,38,5,5,5,0
0xa39e7b901570120f6f963bcce8f5ea4d883cb2ee,3,80.08,41,41,38,25,0,0
0x85daa7413a93f724a79cd73890244713171a42bf,3,80.04,486,482,479,0,0,0
0x35d46a6781d6e71b187786faaa98adcb331d4581,3,79.74,530,530,527,0,0,0
0xfd9f8a0f4bdeac72f08af1c708023cc31dd2e3be,3,78.11,388,388,212,20,0,0
0x017ff2643e1a6d500a54e2c15f8186c87795cbbe,3,78,348,49,47,21,0,0
0xce849efc35a0a0a046e67c76b477c5432e4ba58b,3,77.88,490,490,485,0,0,0
0xb2206f941a5206b55bfa33e665687523a8bced80,3,77.44,347,294,181,0,0,0
0xe126717e61a73fbb4f96175bb3ffafa7ac01f823,3,76.55,230,221,82,5,0,0
0xbd225467133ef5321d864dcf66dab50ff3b26709,3,75.32,249,241,240,0,0,0
0xc41e412b14b26f30bf9ad9f6b83d6a820c57f2ba,3,75.14,530,346,38,22,0,0
0xd0bfb40f057322ff734a75cbe2f79b9e5c7e4cb3,4,74.55,161,130,42,42,0,0
0xd6343caa056ba88102754e165a4e463017faac8c,3,73.98,642,64,51,0,0,0
0x3ec9fc29beba18ae35f1cbd7396ad49ab6ab1908,3,71.86,388,364,342,0,0,0
0x88715a25cb8b2f4a6b6b0a4bf1e2f4b700dd6484,3,71.78,246,246,246,0,0,0
0x957506a969c32db1cb802aba6112eb5743b8e295,3,71.46,287,287,54,20,0,0
0xacd59e854adf632d2322404198624f757c868c97,3,71.04,464,353,136,1,0,0
0xb0ae94bb15537f85a8e7701a234e3f9d05666c10,3,70.5,55,55,55,12,0,0
0x6f8291eafc6b4933896f7d2575bd2fc930dea6a2,1,70.32,1,1,1,1,1,0
0xe96056a9936c58e89d1703cf6bd97f134341ee44,3,69.92,394,269,255,0,0,0
0x2d122fef1613e82c0c90f443b59e54468e16525c,3,69.17,242,241,241,0,0,0
0xaa3600788b72863ff51c8f0db5f10bb65fbfeab4,3,66.71,231,167,48,13,0,0
0xc49b8e093600f684b69ed6ba1e36b7dfad42f982,3,66.27,210,200,94,0,0,0
0x774c3ccfde30a5e7263e8d8ec80b3d419c13ddd3,3,65.22,177,177,177,0,0,0
0x71498865609b6a6ea17f86434168e4ced700a228,2,64.93,528,527,0,0,0,0
0x1e3521a940a24e1ff35622a122d50674d8682159,2,64.7,530,525,0,0,0,0
0x9531c059098e3d194ff87febb587ab07b30b1306,2,63.57,488,481,0,0,0,0
0x958e17802f742d1c6ebeb0d841d786b79a69c9ea,3,63.45,164,164,100,0,0,0
0xfa00ae0472c21e3653479ff0f5ccc963df27c996,2,63.4,35,27,25,25,0,0
0x627d54b88b519a2915b6a5a76fa9530fd085ce26,2,61.99,489,485,0,0,0,0
0xca3589b6dc6b6ae9da653b82b5cf1dd2806db087,3,61.94,367,367,367,0,0,0
0xedd425359fb15e894c639b6a74112954486146b9,3,61.92,38,37,37,22,0,0
0x6862493516e5bca5a0117083b911707ae654cb8b,2,61.32,13,13,13,13,0,0
0xe68bc10cb855b108dedc1cfe6e77b089d46cd45a,3,61.15,469,468,205,0,0,0
0x0117780bdaf2a9ea19ed897ab7db710452a7c00f,2,59.89,239,230,27,26,0,0
0x3d958c62b36e01018644538bd1998c1e9be1ddd8,3,59.34,262,104,95,0,0,0
0x28c0579bac08317300fe591d42ed66fefc7efcd2,3,58.87,180,180,180,0,0,0
0x25631dc3d04bc3d5e8503b3ade74ae06bc0e8a52,3,58.58,287,287,118,0,0,0
0xc50632240a8ec1679912600d38992a521c9b87f8,3,58.42,261,78,78,17,0,0
0x0ce522cad66fa4d6529b2db76e0a91d53296d58b,3,58.11,501,500,273,0,0,0
0x1a3b813809970d6cb2f40b6acc8cd7b305230ddd,3,57.78,411,407,401,0,0,0
0x480387b67a99f2dbea3513d2a7e299e2200874dd,3,57.29,149,142,137,8,0,0
0x6a02e9bdad1c5b8cbbc3b200f0aae67496ffd4d4,3,56.55,255,249,242,0,0,0
0xbf3bb01b6c2dbc463d51febaea0972467ff397a9,3,56.48,104,104,104,9,0,0
0x223c656ed35bfb7a8e358140ca1e2077be090b2e,2,56.36,9,9,9,8,0,0
0xf7c285028f2205aa5c2364ead5f4e088a391b970,3,56.19,103,103,103,0,0,0
0x88671634db9692473c1a7ed7eb14ea1d6e6e2883,3,56.13,52,46,44,0,0,0
0x8c32e32e752d5f24019e2fe2863e39278662e91e,3,55.44,279,279,272,0,0,0
0x6e4df4f7997ab801b1c33fc71bfb7b132a900028,3,55,46,46,46,6,0,0
0x81775a58b1826aa945a0a3b3c0b12e9398bfc5eb,3,54.89,247,247,246,0,0,0
0xa937dd8303906049b809db0ce7f112435c7c9fb5,2,54.73,29,29,25,25,0,0
0x322f40306f078dcbdcebd3d5a591a0c3a7b3c2bc,3,54.73,312,312,300,0,0,0
0x8f51dc0791cddddce08052fff939eb7cf0c17856,3,53.67,176,129,119,1,0,0
